"Name","HoldPath","ProposedBucket","FutureActionOnly","HoldExists","ExpectedSHA256","ActualSHA256","ExpectedSizeBytes","ActualSizeBytes","HoldVerifiedUnchanged","Issues"
"BUILD_ROOT_HELD_GROUP_SCRIPT_CUSTODY_REVIEW_QUEUE_V0_1_20260608_HEAVY_BOUNDARY_BINDING_FIX_V0_2.ps1","C:\Users\13527\Desktop\123\BUILD_ROOT_HELD_GROUP_SCRIPT_CUSTODY_REVIEW_QUEUE_V0_1_20260608_HEAVY_BOUNDARY_BINDING_FIX_V0_2.ps1","HOLD_IN_ROOT_CURRENT_RUNNER_NO_ROUTE","NO_ROUTE_HOLD_CURRENT_RUNNER","True","","E2D38CDADEA96DAFF5EB2B997FDE7D7C261D17E507472B0D5FCA36D6B40D251C","","27035","False","blank expected hold SHA256; blank expected hold size"
"desktop.ini","C:\Users\13527\Desktop\123\desktop.ini","LEAVE_IN_PLACE","LEAVE_IN_PLACE","True","","395022F49476E82B9033A89C7C04CE3770F7ECAD65A8D3F89C89454FF704A906","","115","False","blank expected hold SHA256; blank expected hold size"
"HUMAN_ACCEPTANCE_DECISION__HELPER_EXPOSURE_33RD_PROTOCOL_FIRST_LIVE_USE_TEST_20260606.md","C:\Users\13527\Desktop\123\HUMAN_ACCEPTANCE_DECISION__HELPER_EXPOSURE_33RD_PROTOCOL_FIRST_LIVE_USE_TEST_20260606.md","HOLD_ZERO_BYTE_REVIEW_NO_DELETE","FUTURE_ROUTE_AFTER_USER_APPROVAL_AND_DRY_RUN_ONLY","True","","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","","0","False","blank expected hold SHA256; blank expected hold size"
