"Name","FullName","LastWriteTime","SizeBytes","SHA256","CandidatePriority","CandidateReason","StaticGateStatus","ExecutionStatus","PhysicalActionAuthorized"
"RUN_BOUNDED_GIT_SNAPSHOT_ROUGH_LOCAL_HASH_TRUTH_BOUNDARY_V0_3_STOP_ON_BLOCKER_SAFE_WRITER_20260608.ps1","C:\Users\13527\Desktop\123\HOUSE_WORK\PROJECT_COMMAND_CENTER_UI_LANE\HELPER_FILE_SURFACE_PREFLIGHT_20260606\RUN_BOUNDED_GIT_SNAPSHOT_ROUGH_LOCAL_HASH_TRUTH_BOUNDARY_V0_3_STOP_ON_BLOCKER_SAFE_WRITER_20260608.ps1","06/08/2026 17:58:07","5835","F00FE67E139E3A0F5CC87DEE0EEAD2464D601E151DEA73B37B9FBB86CEB8197E","LOW","Generated helper or runner-shaped script candidate.","NOT_SCANNED","DO_NOT_EXECUTE","NO"
"BUILD_ROOT_HELD_ROUTE_DRY_RUN_SELECTOR_NO_EXECUTION_20260609_V0_1.ps1","C:\Users\13527\Desktop\123\HOUSE_WORK\PROJECT_COMMAND_CENTER_UI_LANE\HELPER_FILE_SURFACE_PREFLIGHT_20260606\BUILD_ROOT_HELD_ROUTE_DRY_RUN_SELECTOR_NO_EXECUTION_20260609_V0_1.ps1","06/09/2026 15:40:39","18348","62C4CB23A10959C978DAE2F3603899435B5D4F7728DA9A1EEA3440D0D1A18BCC","HIGH","Root-held dry-run selector previously hit collection factory / argument mismatch family.","NOT_SCANNED","DO_NOT_EXECUTE","NO"
"BUILD_ROOT_HELD_ROUTE_DRY_RUN_SELECTOR_NO_EXECUTION_20260609_V0_2.ps1","C:\Users\13527\Desktop\123\HOUSE_WORK\PROJECT_COMMAND_CENTER_UI_LANE\HELPER_FILE_SURFACE_PREFLIGHT_20260606\BUILD_ROOT_HELD_ROUTE_DRY_RUN_SELECTOR_NO_EXECUTION_20260609_V0_2.ps1","06/09/2026 16:01:50","18384","BBB99DCA95BF612B6492A2B2E091A8869DD5CBAF982F4316E5F3470C4D055E20","HIGH","Root-held dry-run selector previously hit collection factory / argument mismatch family.","NOT_SCANNED","DO_NOT_EXECUTE","NO"
"BUILD_POST_DELTA_REVIEW_ROUTE_RECONSIDERATION_SELECTOR_NO_EXECUTION_20260609_V0_1.ps1","C:\Users\13527\Desktop\123\HOUSE_WORK\PROJECT_COMMAND_CENTER_UI_LANE\HELPER_FILE_SURFACE_PREFLIGHT_20260606\BUILD_POST_DELTA_REVIEW_ROUTE_RECONSIDERATION_SELECTOR_NO_EXECUTION_20260609_V0_1.ps1","06/09/2026 17:17:40","22788","35DF0CD2FCDCD2F2C6249A0FCB95AA17ECA49D4E669FD7A8CA3DE9A99B3BC6B7","LOW","Generated helper or runner-shaped script candidate.","NOT_SCANNED","DO_NOT_EXECUTE","NO"
"BUILD_POST_DELTA_REVIEW_ROUTE_RECONSIDERATION_SELECTOR_V0_2_NO_EXECUTION_20260609.ps1","C:\Users\13527\Desktop\123\HOUSE_WORK\PROJECT_COMMAND_CENTER_UI_LANE\HELPER_FILE_SURFACE_PREFLIGHT_20260606\BUILD_POST_DELTA_REVIEW_ROUTE_RECONSIDERATION_SELECTOR_V0_2_NO_EXECUTION_20260609.ps1","06/09/2026 17:44:00","29407","B549D36B85E3A125E3DAEC9FF0FBFEF6DBAA28C29065103866B7F4E3E2F7B72A","LOW","Generated helper or runner-shaped script candidate.","NOT_SCANNED","DO_NOT_EXECUTE","NO"
"ROUTE_55_EXECUTOR_APPROVED_ONLY_DO_NOT_RUN_UNLESS_APPROVED_V0_1_20260609_204546.ps1","C:\Users\13527\Desktop\123\HOUSE_WORK\PROJECT_COMMAND_CENTER_UI_LANE\HELPER_FILE_SURFACE_PREFLIGHT_20260606\ROUTE_55_EXECUTOR_APPROVED_ONLY_DO_NOT_RUN_UNLESS_APPROVED_V0_1_20260609_204546.ps1","06/09/2026 20:45:46","6777","9593202555160B904ECC1792B682A994C06E89F30196CD4FE0CF61A4B5BF3CE0","LOW","Generated helper or runner-shaped script candidate.","NOT_SCANNED","DO_NOT_EXECUTE","NO"
