"RelativePath","FullName","TopLevel","Extension","Length","LastWriteTimeUtc","Class"
"COMMAND_CENTER\ROOT_RESIDUE_CUSTODY\20260604_20260603_234658\HANDOFF_AND_CORRECTION_PACKETS\MULE_CORRECTION_V2_INJECT_GOOD_UPDATE_PATHS_20260604\MULE_CORRECTION_APPLY_ROOT_RULE_AND_FULL_NEXT_JOB_20260604\MULE_CORRECTION_PACKET_MANIFEST_20260604.csv","C:\Users\13527\Desktop\123\COMMAND_CENTER\ROOT_RESIDUE_CUSTODY\20260604_20260603_234658\HANDOFF_AND_CORRECTION_PACKETS\MULE_CORRECTION_V2_INJECT_GOOD_UPDATE_PATHS_20260604\MULE_CORRECTION_APPLY_ROOT_RULE_AND_FULL_NEXT_JOB_20260604\MULE_CORRECTION_PACKET_MANIFEST_20260604.csv","COMMAND_CENTER",".csv","832","2026-06-04T07:32:14.0000000Z","MANIFEST"
"COMMAND_CENTER\ROOT_RESIDUE_CUSTODY\20260604_20260603_234658\HANDOFF_AND_CORRECTION_PACKETS\MULE_CORRECTION_V2_INJECT_GOOD_UPDATE_PATHS_20260604\MULE_CORRECTION_APPLY_ROOT_RULE_AND_FULL_NEXT_JOB_20260604\MULE_HANDOFF_ROW_001_RULE_CAPTURE_20260604.zip","C:\Users\13527\Desktop\123\COMMAND_CENTER\ROOT_RESIDUE_CUSTODY\20260604_20260603_234658\HANDOFF_AND_CORRECTION_PACKETS\MULE_CORRECTION_V2_INJECT_GOOD_UPDATE_PATHS_20260604\MULE_CORRECTION_APPLY_ROOT_RULE_AND_FULL_NEXT_JOB_20260604\MULE_HANDOFF_ROW_001_RULE_CAPTURE_20260604.zip","COMMAND_CENTER",".zip","22212","2026-06-04T07:32:12.0000000Z","PACKET_OR_ORDER"
"COMMAND_CENTER\ROOT_RESIDUE_CUSTODY\20260604_20260603_234658\HANDOFF_AND_CORRECTION_PACKETS\MULE_CORRECTION_V2_INJECT_GOOD_UPDATE_PATHS_20260604\MULE_CORRECTION_APPLY_ROOT_RULE_AND_FULL_NEXT_JOB_20260604\MULE_ROOT_NO_LOOSE_FILES_RULE_V1.md","C:\Users\13527\Desktop\123\COMMAND_CENTER\ROOT_RESIDUE_CUSTODY\20260604_20260603_234658\HANDOFF_AND_CORRECTION_PACKETS\MULE_CORRECTION_V2_INJECT_GOOD_UPDATE_PATHS_20260604\MULE_CORRECTION_APPLY_ROOT_RULE_AND_FULL_NEXT_JOB_20260604\MULE_ROOT_NO_LOOSE_FILES_RULE_V1.md","COMMAND_CENTER",".md","4025","2026-06-04T07:32:12.0000000Z","PACKET_OR_ORDER"
"COMMAND_CENTER\ROOT_RESIDUE_CUSTODY\20260604_20260603_234658\HANDOFF_AND_CORRECTION_PACKETS\MULE_CORRECTION_V2_INJECT_GOOD_UPDATE_PATHS_20260604\MULE_CORRECTION_APPLY_ROOT_RULE_AND_FULL_NEXT_JOB_20260604\REPEATED_USER_CORRECTION_TO_LIVING_RULE_TRIGGER_V1_1.md","C:\Users\13527\Desktop\123\COMMAND_CENTER\ROOT_RESIDUE_CUSTODY\20260604_20260603_234658\HANDOFF_AND_CORRECTION_PACKETS\MULE_CORRECTION_V2_INJECT_GOOD_UPDATE_PATHS_20260604\MULE_CORRECTION_APPLY_ROOT_RULE_AND_FULL_NEXT_JOB_20260604\REPEATED_USER_CORRECTION_TO_LIVING_RULE_TRIGGER_V1_1.md","COMMAND_CENTER",".md","5938","2026-06-04T07:32:12.0000000Z","PACKET_OR_ORDER"
"COMMAND_CENTER\ROOT_RESIDUE_CUSTODY\20260604_20260603_234658\HANDOFF_AND_CORRECTION_PACKETS\MULE_CORRECTION_V2_INJECT_GOOD_UPDATE_PATHS_20260604\MULE_CORRECTION_APPLY_ROOT_RULE_AND_FULL_NEXT_JOB_20260604\ROW_001_DISPOSABLE_FIXTURE_DESIGN_V1.md","C:\Users\13527\Desktop\123\COMMAND_CENTER\ROOT_RESIDUE_CUSTODY\20260604_20260603_234658\HANDOFF_AND_CORRECTION_PACKETS\MULE_CORRECTION_V2_INJECT_GOOD_UPDATE_PATHS_20260604\MULE_CORRECTION_APPLY_ROOT_RULE_AND_FULL_NEXT_JOB_20260604\ROW_001_DISPOSABLE_FIXTURE_DESIGN_V1.md","COMMAND_CENTER",".md","10986","2026-06-04T07:32:12.0000000Z","PACKET_OR_ORDER"
"COMMAND_CENTER\ROOT_RESIDUE_CUSTODY\20260604_20260603_234658\HANDOFF_AND_CORRECTION_PACKETS\MULE_CORRECTION_V2_INJECT_GOOD_UPDATE_PATHS_20260604\MULE_CORRECTION_APPLY_ROOT_RULE_AND_FULL_NEXT_JOB_20260604\ROW_001_DISPOSABLE_FIXTURE_V1.zip","C:\Users\13527\Desktop\123\COMMAND_CENTER\ROOT_RESIDUE_CUSTODY\20260604_20260603_234658\HANDOFF_AND_CORRECTION_PACKETS\MULE_CORRECTION_V2_INJECT_GOOD_UPDATE_PATHS_20260604\MULE_CORRECTION_APPLY_ROOT_RULE_AND_FULL_NEXT_JOB_20260604\ROW_001_DISPOSABLE_FIXTURE_V1.zip","COMMAND_CENTER",".zip","10696","2026-06-04T07:32:12.0000000Z","PACKET_OR_ORDER"
"COMMAND_CENTER\ROOT_RESIDUE_CUSTODY\20260604_20260603_234658\HANDOFF_AND_CORRECTION_PACKETS\MULE_CORRECTION_V2_INJECT_GOOD_UPDATE_PATHS_20260604\MULE_CORRECTION_APPLY_ROOT_RULE_AND_FULL_NEXT_JOB_20260604\START_HERE_MULE_QUICK_ORDER.md","C:\Users\13527\Desktop\123\COMMAND_CENTER\ROOT_RESIDUE_CUSTODY\20260604_20260603_234658\HANDOFF_AND_CORRECTION_PACKETS\MULE_CORRECTION_V2_INJECT_GOOD_UPDATE_PATHS_20260604\MULE_CORRECTION_APPLY_ROOT_RULE_AND_FULL_NEXT_JOB_20260604\START_HERE_MULE_QUICK_ORDER.md","COMMAND_CENTER",".md","579","2026-06-04T07:32:14.0000000Z","PACKET_OR_ORDER"
"COMMAND_CENTER\ROOT_RESIDUE_CUSTODY\20260604_20260603_234658\HANDOFF_AND_CORRECTION_PACKETS\MULE_CORRECTION_V2_INJECT_GOOD_UPDATE_PATHS_20260604\ROW_001_DISPOSABLE_FIXTURE_V1\DISPOSAL_RULE_ROW_001.md","C:\Users\13527\Desktop\123\COMMAND_CENTER\ROOT_RESIDUE_CUSTODY\20260604_20260603_234658\HANDOFF_AND_CORRECTION_PACKETS\MULE_CORRECTION_V2_INJECT_GOOD_UPDATE_PATHS_20260604\ROW_001_DISPOSABLE_FIXTURE_V1\DISPOSAL_RULE_ROW_001.md","COMMAND_CENTER",".md","1213","2026-06-04T07:19:44.0000000Z","PACKET_OR_ORDER"
"COMMAND_CENTER\ROOT_RESIDUE_CUSTODY\20260604_20260603_234658\HANDOFF_AND_CORRECTION_PACKETS\MULE_CORRECTION_V2_INJECT_GOOD_UPDATE_PATHS_20260604\ROW_001_DISPOSABLE_FIXTURE_V1\EXPECTED_JUDGMENTS_ROW_001.csv","C:\Users\13527\Desktop\123\COMMAND_CENTER\ROOT_RESIDUE_CUSTODY\20260604_20260603_234658\HANDOFF_AND_CORRECTION_PACKETS\MULE_CORRECTION_V2_INJECT_GOOD_UPDATE_PATHS_20260604\ROW_001_DISPOSABLE_FIXTURE_V1\EXPECTED_JUDGMENTS_ROW_001.csv","COMMAND_CENTER",".csv","1314","2026-06-04T07:19:44.0000000Z","PACKET_OR_ORDER"
"COMMAND_CENTER\ROOT_RESIDUE_CUSTODY\20260604_20260603_234658\HANDOFF_AND_CORRECTION_PACKETS\MULE_CORRECTION_V2_INJECT_GOOD_UPDATE_PATHS_20260604\ROW_001_DISPOSABLE_FIXTURE_V1\MANUAL_REVIEW_CHECKLIST_ROW_001.md","C:\Users\13527\Desktop\123\COMMAND_CENTER\ROOT_RESIDUE_CUSTODY\20260604_20260603_234658\HANDOFF_AND_CORRECTION_PACKETS\MULE_CORRECTION_V2_INJECT_GOOD_UPDATE_PATHS_20260604\ROW_001_DISPOSABLE_FIXTURE_V1\MANUAL_REVIEW_CHECKLIST_ROW_001.md","COMMAND_CENTER",".md","1790","2026-06-04T07:19:44.0000000Z","PACKET_OR_ORDER"
